,Unix,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
count,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0
mean,1594426089287.3997,19831.958050967438,20373.558041529024,19220.371996224632,19842.51756016989,77014.36166430816,1675276049.0581043,1479619.8735252477
std,52864422878.42805,16201.325392399458,16642.518121186487,15690.59162257914,16198.498927751494,87619.33792187314,2135895930.1371453,2081294.9933584165
min,1502928000000.0,3188.01,3276.5,2817.0,3189.02,228.108068,977865.7333321,2153.0
25%,1548676800000.0,7503.475,7720.094999999999,7320.0,7506.76,31370.1437505,260948397.2049607,274734.5
50%,1594425600000.0,11388.54,11710.0,11050.51,11392.08,48499.864154,696651729.7452534,735371.0
75%,1640174400000.0,29231.825,29929.695,28659.055,29231.83,82375.31378,2462080278.1135025,1612508.5
max,1686268800000.0,67525.82,69000.0,66222.4,67525.83,760705.362783,17465307097.88407,15223589.0
